Código;Job;PID;Node;Cenário;Data Início;Data Fim;Total (s)
352445;JOB_NASA_VA;46604;N2;SD_J4GL_VA22_VA41;22/12/2025 10:43;22/12/2025 10:44;00:01:40
352444;JOB_NASA_VA;61752;N2;newvisionapp;22/12/2025 10:42;22/12/2025 10:46;00:03:59
352443;JOB_NASA_VA;60140;N2;SD_J4GL_VA22_VA41;22/12/2025 10:41;22/12/2025 10:41;00:00:21
352442;JOB_NASA_VA;63728;N2;newvisionapp;22/12/2025 10:40;22/12/2025 10:41;00:00:59
352441;JOB_NASA_VA;57784;N2;SD_J3GH_IE02;22/12/2025 10:33;22/12/2025 10:34;00:01:27
352440;JOB_NASA_CME_NF;3448;N1;SD_NF;22/12/2025 10:33;22/12/2025 10:34;00:01:26
352439;JOB_NASA_CME_NF;6776;N1;newvisionapp;22/12/2025 10:33;22/12/2025 10:34;00:01:36
352438;JOB_NASA_VA;65080;N2;SD_J3GH_IE02;22/12/2025 10:31;22/12/2025 10:32;00:01:10
352437;JOB_NASA_VA;59636;N2;SD_J4GL_VA22_VA41;22/12/2025 10:31;22/12/2025 10:33;00:02:19
352436;JOB_NASA_VA;59880;N2;newvisionapp;22/12/2025 10:30;22/12/2025 10:34;00:03:59
352435;JOB_NASA_VA;61668;N2;SD_J4GL_VA22_VA41;22/12/2025 10:29;22/12/2025 10:31;00:02:23
352434;JOB_NASA_VA;62732;N2;newvisionapp;22/12/2025 10:28;22/12/2025 10:32;00:04:00
352433;JOB_SD_ZVF31_ECP;5136;N1;SD_ZVF31_REST;22/12/2025 10:28;22/12/2025 10:28;00:00:08
352432;JOB_SD_ZVF31_ECP;3776;N1;SD_ZVF31_SQL;22/12/2025 10:28;22/12/2025 10:28;00:00:26
352431;JOB_SD_ZVF31_ECP;3824;N1;newvisionapp;22/12/2025 10:28;22/12/2025 10:28;00:00:51
352430;JOB_SD_ZVF31_ECP;2688;N1;SD_ZVF31_REST;22/12/2025 10:25;22/12/2025 10:25;00:00:05
352429;JOB_SD_ZVF31_ECP;6816;N1;SD_ZVF31_SQL;22/12/2025 10:24;22/12/2025 10:25;00:00:22
352428;JOB_SD_ZVF31_ECP;3832;N1;newvisionapp;22/12/2025 10:24;22/12/2025 10:25;00:00:45
352427;JOB_NASA_CME_NF;6196;N1;SD_NF;22/12/2025 10:23;22/12/2025 10:24;00:01:21
352426;JOB_NASA_VA;64704;N2;SD_J3GH_IE02;22/12/2025 10:23;22/12/2025 10:24;00:01:40
352425;JOB_NASA_CME_NF;992;N1;newvisionapp;22/12/2025 10:23;22/12/2025 10:24;00:01:35
352424;JOB_NASA_VA;54524;N2;SD_J4GL_VA22_VA41;22/12/2025 10:21;22/12/2025 10:23;00:01:50
352423;JOB_NASA_VA;65400;N2;newvisionapp;22/12/2025 10:20;22/12/2025 10:24;00:04:00
352422;JOB_NASA_CME_NF;4060;N1;newvisionapp;22/12/2025 10:17;22/12/2025 10:17;00:00:10
352421;JOB_NASA_CME_NF;2892;N1;SD_NF;22/12/2025 10:14;22/12/2025 10:17;00:02:35
352420;JOB_NASA_CME_NF;4884;N1;newvisionapp;22/12/2025 10:14;22/12/2025 10:17;00:02:44
352419;JOB_NASA_CME_NF;6532;N1;SD_NF;22/12/2025 10:10;22/12/2025 10:11;00:01:28
352418;JOB_NASA_CME_NF;3204;N1;newvisionapp;22/12/2025 10:09;22/12/2025 10:11;00:01:39
352417;JOB_NASA_CME_NF;3232;N1;SD_NF;22/12/2025 10:08;22/12/2025 10:09;00:01:26
352416;JOB_NASA_CME_NF;5412;N1;newvisionapp;22/12/2025 10:08;22/12/2025 10:09;00:01:34
352415;JOB_NASA_CME_NF;5080;N1;SD_NF;22/12/2025 10:06;22/12/2025 10:07;00:01:25
352414;JOB_NASA_CME_NF;6608;N1;newvisionapp;22/12/2025 10:06;22/12/2025 10:07;00:01:35
352413;JOB_NASA_CME_NF;6428;N1;SD_NF;22/12/2025 10:04;22/12/2025 10:05;00:01:25
352412;JOB_NASA_CME_NF;5788;N1;newvisionapp;22/12/2025 10:04;22/12/2025 10:05;00:01:35
352411;JOB_NASA_CME_ST;58508;N2;SD_ZCME_STATUS;22/12/2025 10:02;22/12/2025 10:03;00:00:49
352410;JOB_NASA_CME_ST;64672;N2;SD_ZCME_REALIZAR;22/12/2025 10:01;22/12/2025 10:02;00:01:23
352409;JOB_NASA_CME_ST;63224;N2;newvisionapp;22/12/2025 10:00;22/12/2025 10:03;00:02:38
352408;JOB_NASA_CME_NF;2788;N1;newvisionapp;22/12/2025 10:00;22/12/2025 10:01;00:00:15
352407;JOB_NASA_CME_NF;1812;N1;SD_NF;22/12/2025 09:59;22/12/2025 10:00;00:01:25
352406;JOB_NASA_CME_NF;2308;N1;newvisionapp;22/12/2025 09:59;22/12/2025 10:00;00:01:40
352405;JOB_NASA_CME_NF;5072;N1;SD_NF;22/12/2025 09:57;22/12/2025 09:58;00:01:25
352404;JOB_NASA_CME_NF;5732;N1;newvisionapp;22/12/2025 09:57;22/12/2025 09:58;00:01:35
352403;JOB_NASA_CME_NF;1920;N1;newvisionapp;22/12/2025 09:55;22/12/2025 09:55;00:00:14
352402;JOB_NASA_CME_NF;6136;N1;SD_NF;22/12/2025 09:52;22/12/2025 09:55;00:03:04
352401;JOB_NASA_CME_NF;6976;N1;newvisionapp;22/12/2025 09:52;22/12/2025 09:55;00:03:19
352400;JOB_NASA_CME_NF;1740;N1;SD_NF;22/12/2025 09:46;22/12/2025 09:47;00:01:30
352399;JOB_NASA_CME_NF;6608;N1;newvisionapp;22/12/2025 09:46;22/12/2025 09:47;00:01:39
352398;JOB_NASA_CME_NF;6584;N1;SD_NF;22/12/2025 09:43;22/12/2025 09:44;00:01:31
352397;JOB_NASA_CME_NF;580;N1;newvisionapp;22/12/2025 09:43;22/12/2025 09:44;00:01:39
352396;JOB_NASA_VA;60168;N2;SD_J3GH_IE02;22/12/2025 09:34;22/12/2025 09:35;00:01:03
352395;JOB_NASA_VA;39784;N2;SD_J4GL_VA22_VA41;22/12/2025 09:31;22/12/2025 09:33;00:01:49
352394;JOB_NASA_VA;59768;N2;SD_J3GH_IE02;22/12/2025 09:31;22/12/2025 09:32;00:01:20
352393;JOB_NASA_VA;61096;N2;newvisionapp;22/12/2025 09:30;22/12/2025 09:35;00:04:59
352392;JOB_NASA_VA;60436;N2;SD_J4GL_VA22_VA41;22/12/2025 09:29;22/12/2025 09:31;00:01:51
352391;JOB_NASA_VA;59852;N2;newvisionapp;22/12/2025 09:28;22/12/2025 09:32;00:03:38
352390;JOB_NASA_CME_NF;2284;N1;SD_NF;22/12/2025 09:28;22/12/2025 09:30;00:01:50
352389;JOB_NASA_CME_NF;5240;N1;newvisionapp;22/12/2025 09:28;22/12/2025 09:30;00:02:00
352388;JOB_NASA_CME_NF;2420;N1;newvisionapp;22/12/2025 09:26;22/12/2025 09:26;00:00:09
352387;JOB_NASA_CME_NF;3832;N1;newvisionapp;22/12/2025 09:26;22/12/2025 09:26;00:00:14
352386;JOB_NASA_CME_NF;4780;N1;newvisionapp;22/12/2025 09:25;22/12/2025 09:26;00:00:13
352385;JOB_NASA_CME_NF;4808;N1;newvisionapp;22/12/2025 09:25;22/12/2025 09:25;00:00:13
352384;JOB_NASA_CME_NF;5116;N1;newvisionapp;22/12/2025 09:25;22/12/2025 09:25;00:00:15
352383;JOB_NASA_CME_NF;1284;N1;newvisionapp;22/12/2025 09:25;22/12/2025 09:25;00:00:13
352382;JOB_NASA_CME_NF;7128;N1;newvisionapp;22/12/2025 09:24;22/12/2025 09:25;00:00:13
352381;JOB_NASA_CME_NF;4412;N1;newvisionapp;22/12/2025 09:24;22/12/2025 09:24;00:00:12
352380;JOB_NASA_CME_NF;4184;N1;newvisionapp;22/12/2025 09:24;22/12/2025 09:24;00:00:18
352379;JOB_NASA_CME_NF;5900;N1;newvisionapp;22/12/2025 09:24;22/12/2025 09:24;00:00:13
352378;JOB_NASA_CME_NF;6080;N1;newvisionapp;22/12/2025 09:23;22/12/2025 09:24;00:00:13
352377;JOB_NASA_CME_NF;4100;N1;newvisionapp;22/12/2025 09:23;22/12/2025 09:23;00:00:08
352376;JOB_NASA_CME_NF;4600;N1;newvisionapp;22/12/2025 09:23;22/12/2025 09:23;00:00:13
352375;JOB_NASA_CME_NF;844;N1;newvisionapp;22/12/2025 09:23;22/12/2025 09:23;00:00:13
352374;JOB_NASA_CME_NF;6576;N1;newvisionapp;22/12/2025 09:22;22/12/2025 09:23;00:00:13
352373;JOB_NASA_CME_NF;3000;N1;newvisionapp;22/12/2025 09:22;22/12/2025 09:22;00:00:13
352372;JOB_NASA_CME_NF;2352;N1;newvisionapp;22/12/2025 09:22;22/12/2025 09:22;00:00:13
352371;JOB_NASA_CME_NF;4820;N1;newvisionapp;22/12/2025 09:22;22/12/2025 09:22;00:00:13
352370;JOB_NASA_CME_NF;5372;N1;newvisionapp;22/12/2025 09:21;22/12/2025 09:22;00:00:13
352369;JOB_NASA_CME_NF;6260;N1;newvisionapp;22/12/2025 09:21;22/12/2025 09:21;00:00:13
352368;JOB_NASA_CME_NF;5644;N1;newvisionapp;22/12/2025 09:21;22/12/2025 09:21;00:00:08
352367;JOB_NASA_J3GH;58476;N2;SD_J3GH_IE02;22/12/2025 09:21;22/12/2025 09:26;00:05:23
352366;JOB_NASA_J3GH;61164;N2;newvisionapp;22/12/2025 09:20;22/12/2025 09:26;00:05:38
352365;JOB_NASA_CME_NF;6136;N1;SD_NF;22/12/2025 09:20;22/12/2025 09:21;00:00:15
352364;JOB_NASA_CME_NF;7000;N1;newvisionapp;22/12/2025 09:20;22/12/2025 09:21;00:00:23
352363;JOB_NASA_CME_NF;1988;N1;newvisionapp;22/12/2025 09:20;22/12/2025 09:20;00:00:13
352362;JOB_NASA_CME_NF;520;N1;newvisionapp;22/12/2025 09:20;22/12/2025 09:20;00:00:13
352361;JOB_NASA_CME_NF;4204;N1;newvisionapp;22/12/2025 09:20;22/12/2025 09:20;00:00:13
352360;JOB_NASA_CME_NF;3420;N1;newvisionapp;22/12/2025 09:19;22/12/2025 09:20;00:00:13
352359;JOB_NASA_CME_NF;4968;N1;newvisionapp;22/12/2025 09:19;22/12/2025 09:19;00:00:13
352358;JOB_NASA_CME_NF;6148;N1;SD_NF;22/12/2025 09:18;22/12/2025 09:19;00:01:00
352357;JOB_NASA_CME_NF;4568;N1;newvisionapp;22/12/2025 09:18;22/12/2025 09:19;00:01:08
352356;JOB_SD_ZVF31_ECP;5032;N1;SD_ZVF31_REST;22/12/2025 09:18;22/12/2025 09:18;00:00:04
352355;JOB_SD_ZVF31_ECP;6768;N1;SD_ZVF31_SQL;22/12/2025 09:17;22/12/2025 09:18;00:00:26
352354;JOB_SD_ZVF31_ECP;5812;N1;newvisionapp;22/12/2025 09:17;22/12/2025 09:18;00:01:00
352353;JOB_SD_ZVF31_ECP;1936;N1;SD_ZVF31_REST;22/12/2025 09:17;22/12/2025 09:17;00:00:04
352352;JOB_SD_ZVF31_ECP;4424;N1;SD_ZVF31_SQL;22/12/2025 09:16;22/12/2025 09:17;00:00:25
352351;JOB_SD_ZVF31_ECP;6260;N1;newvisionapp;22/12/2025 09:16;22/12/2025 09:17;00:00:48
352350;JOB_NASA_CME_NF;5028;N1;newvisionapp;22/12/2025 09:16;22/12/2025 09:16;00:00:13
352349;JOB_NASA_VA;61740;N2;SD_J3GH_IE02;22/12/2025 09:16;22/12/2025 09:21;00:05:22
352348;JOB_NASA_CME_NF;2324;N1;newvisionapp;22/12/2025 09:16;22/12/2025 09:16;00:00:13
352347;JOB_NASA_CME_NF;168;N1;newvisionapp;22/12/2025 09:15;22/12/2025 09:16;00:00:13
352346;JOB_NASA_CME_NF;6528;N1;SD_NF;22/12/2025 09:14;22/12/2025 09:15;00:01:27
352345;JOB_NASA_VA;53612;N2;SD_J4GL_VA22_VA41;22/12/2025 09:14;22/12/2025 09:16;00:01:52
352344;JOB_NASA_CME_NF;3036;N1;newvisionapp;22/12/2025 09:14;22/12/2025 09:15;00:01:43
352343;JOB_NASA_VA;60588;N2;newvisionapp;22/12/2025 09:13;22/12/2025 09:21;00:07:38
352342;JOB_NASA_VA;60016;N2;SD_J3GH_IE02;22/12/2025 09:11;22/12/2025 09:12;00:01:41
352341;JOB_NASA_VA;60628;N2;SD_J4GL_VA22_VA41;22/12/2025 09:09;22/12/2025 09:11;00:01:51
352340;JOB_NASA_VA;62724;N2;newvisionapp;22/12/2025 09:08;22/12/2025 09:12;00:03:59
352339;JOB_NASA_VA;62996;N2;SD_J3GH_IE02;22/12/2025 09:08;22/12/2025 09:09;00:01:20
352338;JOB_NASA_CME_NF;6652;N1;SD_NF;22/12/2025 09:07;22/12/2025 09:13;00:06:15
352337;JOB_NASA_CME_NF;6904;N1;newvisionapp;22/12/2025 09:07;22/12/2025 09:13;00:06:23
352336;JOB_NASA_VA;59844;N2;SD_J4GL_VA22_VA41;22/12/2025 09:06;22/12/2025 09:08;00:01:49
352335;JOB_NASA_VA;64284;N2;newvisionapp;22/12/2025 09:05;22/12/2025 09:09;00:03:38
352334;JOB_NASA_CME_NF;4600;N1;SD_NF;22/12/2025 09:04;22/12/2025 09:07;00:02:24
352333;JOB_NASA_VA;64224;N2;SD_J3GH_IE02;22/12/2025 09:04;22/12/2025 09:06;00:01:43
352332;JOB_NASA_CME_NF;7088;N1;newvisionapp;22/12/2025 09:04;22/12/2025 09:07;00:02:33
352331;JOB_NASA_CME_NF;5536;N1;newvisionapp;22/12/2025 09:04;22/12/2025 09:04;00:00:12
352330;JOB_NASA_CME_NF;1180;N1;newvisionapp;22/12/2025 09:04;22/12/2025 09:04;00:00:12
352329;JOB_NASA_CME_NF;5388;N1;newvisionapp;22/12/2025 09:04;22/12/2025 09:04;00:00:12
352328;JOB_NASA_CME_NF;4336;N1;newvisionapp;22/12/2025 09:03;22/12/2025 09:03;00:00:12
352327;JOB_NASA_CME_NF;6996;N1;newvisionapp;22/12/2025 09:03;22/12/2025 09:03;00:00:12
